pygame 2.0.0 (SDL 2.0.12, python 3.8.5)
Hello from the pygame community. https://www.pygame.org/contribute.html
winner is 0
         47353192 function calls (46585617 primitive calls) in 77.424 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      161    0.000    0.000    0.001    0.000 __init__.py:2916(<listcomp>)
      161    0.000    0.000    0.114    0.001 __init__.py:2310(fixup_namespace_packages)
       15    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      543    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
   346/23    0.000    0.000    0.348    0.015 {built-in method builtins.__import__}
       32    0.000    0.000    0.005    0.000 gomoku.py:73(_draw_board)
       85    0.000    0.000    0.037    0.000 sre_compile.py:759(compile)
     1442    0.000    0.000    0.000    0.000 version.py:314(<genexpr>)
     2126    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      273    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
     1850    0.000    0.000    0.001    0.000 sre_parse.py:160(__len__)
      867    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      334    0.000    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      322    0.000    0.000    0.026    0.000 __init__.py:2036(_by_version)
    111/5    0.000    0.000    0.001    0.000 pyparsing.py:3319(streamline)
      215    0.000    0.000    0.002    0.000 __init__.py:2407(yield_lines)
     1178    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       85    0.000    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
      254    0.000    0.000    0.106    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
     1082    0.000    0.000    0.001    0.000 ntpath.py:34(_get_bothseps)
      416    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:376(cached)
      471    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      194    0.000    0.000    0.019    0.000 genericpath.py:16(exists)
      487    0.000    0.000    0.005    0.000 ntpath.py:221(dirname)
      274    0.000    0.000    0.004    0.000 function_base.py:451(add_newdoc)
     1393    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      471    0.000    0.000    0.003    0.000 pyparsing.py:1167(copy)
     2082    0.000    0.000    0.000    0.000 version.py:420(_parse_letter_version)
       12    0.000    0.000    0.014    0.001 __init__.py:1903(get_metadata)
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.display.set_caption}
      276    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.104    0.104 __init__.py:21(<module>)
      901    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
    381/7    0.000    0.000    0.918    0.131 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      162    0.000    0.000    0.000    0.000 __init__.py:667(__iter__)
      327    0.000    0.000    0.002    0.000 re.py:203(sub)
     1628    0.000    0.000    0.003    0.000 __init__.py:2366(_normalize_cached)
      193    0.000    0.000    0.024    0.000 __init__.py:1409(has_metadata)
      322    0.000    0.000    0.002    0.000 __init__.py:1317(safe_name)
    56/54    0.000    0.000    0.159    0.003 <frozen importlib._bootstrap_external>:1099(create_module)
      133    0.000    0.000    0.001    0.000 pyparsing.py:3260(__init__)
     1930    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      694    0.000    0.000    0.001    0.000 <string>:1(__new__)
    148/3    0.000    0.000    0.001    0.000 pyparsing.py:1370(_parseNoCache)
       46    0.000    0.000    0.042    0.001 __init__.py:1416(get_metadata)
       85    0.000    0.000    0.025    0.000 sre_parse.py:937(parse)
       39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      241    0.000    0.000    0.001    0.000 posixpath.py:60(isabs)
      276    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1930    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      162    0.000    0.000    0.149    0.001 __init__.py:3293(<genexpr>)
      807    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
      181    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
      181    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1066    0.000    0.000    0.001    0.000 version.py:74(__lt__)
      181    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
        6    0.000    0.000    0.001    0.000 enum.py:134(__new__)
      181    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
       92    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
     1074    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       26    0.000    0.000    0.005    0.000 traceback.py:321(extract)
       47    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      368    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
      181    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      276    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000   75.997   75.997 gomoku.py:41(run)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
      807    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
        1    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
     1066    0.000    0.000    0.000    0.000 version.py:76(<lambda>)
      146    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
      310    0.000    0.000    0.000    0.000 __init__.py:1944(__init__)
      471    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      373    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
      194    0.000    0.000    0.019    0.000 __init__.py:1613(_has)
      866    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
     1380    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       50    0.000    0.000    0.061    0.001 __init__.py:2568(_version_from_file)
      678    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      254    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      544    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      222    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
      235    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
        1    0.000    0.000    0.020    0.020 pyparsing.py:26(<module>)
       85    0.000    0.000    0.000    0.000 enum.py:833(__and__)
       90    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
      322    0.000    0.000    0.003    0.000 ntpath.py:214(basename)
      285    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
       26    0.000    0.000    0.003    0.000 <frozen zipimport>:63(__init__)
      234    0.000    0.000    0.001    0.000 pkgutil.py:405(get_importer)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.014    0.014 numeric.py:1(<module>)
      239    0.000    0.000    0.005    0.000 __init__.py:1406(_get_metadata_path)
        1    0.000    0.000    0.002    0.002 six.py:21(<module>)
      186    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
        4    0.000    0.000    0.001    0.000 enum.py:456(<listcomp>)
       52    0.000    0.000    0.000    0.000 core.py:895(__init__)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
      406    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       82    0.000    0.000    0.000    0.000 pyparsing.py:3719(__init__)
        2    0.000    0.000    0.561    0.280 __init__.py:2(<module>)
      239    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
     1143    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      471    0.000    0.000    0.000    0.000 copyreg.py:90(__newobj__)
